id,startNode,endNode,duration,type,length,name,ref
226,28080,2458,244.330600,2,3393.480554,,D 619
227,8775,8777,5.563376,2,77.269111,,
228,15347,15345,3.003300,2,41.712506,,
229,25452,25454,1.663520,2,23.104450,,
230,25999,23252,54.073260,2,751.017499,Avenue du Général Leclerc,D 32
231,30908,30906,9.583931,2,133.110154,,
232,773,1637,33.547209,3,465.933453,Rue La Fayette,
233,5047,159,9.297538,3,129.132473,Avenue de la Porte de la Plaine,
234,21208,21210,1.344669,2,18.675965,Place du 19 Mars 1962,
235,24336,18579,173.959421,2,2416.103069,,D 319
236,8559,8565,99.609068,2,1383.459280,Boulevard de l'Ouest,D 113
237,14517,23447,2.203096,2,30.598549,,
238,21322,21325,65.272920,2,906.568340,,D 936
239,28071,26120,824.168493,2,11446.784620,,D 47
240,12611,2360,51.789883,2,719.303927,Rue des Ponts,D 321
241,13274,13290,3.721506,2,51.687587,,
242,29777,26398,6.371882,2,88.498363,,
243,30223,30206,9.520727,2,132.232321,,
244,30860,30850,2.788193,2,38.724909,,
245,707,716,3.305529,2,45.910120,,
246,14976,14968,30.804818,2,427.844698,Avenue du Général Leclerc,D 928
247,15732,14016,27.245332,2,378.407388,Rue de Maule,
248,18043,22048,0.195925,2,2.721186,Boulevard Laurent et Danièle Casanova,
249,26869,439,3.503140,2,48.654725,Rue Louise Weiss,D 446
250,4705,23192,1.219469,2,16.937070,,
251,7507,7515,2.842096,2,39.473551,,
252,8973,8972,1.600760,2,22.232778,,
253,26555,23319,7.792571,2,108.230155,Rue Serret,D 20
254,28757,1779,11.372559,3,157.952213,Rue Louis Armand,
255,18250,22448,2.060382,3,28.616410,Place Léon Blum,
256,20129,18210,60.742162,2,843.641139,,D 316
257,9917,25347,12.132979,2,168.513595,Rue de la Falaise,
258,24721,24722,4.563804,2,63.386164,,
259,1218,21295,3.393184,2,47.127551,Rue du Lieutenant-Colonel Prud'hon,D 48
260,3563,26514,47.892397,2,665.172186,,D 149
261,5042,5055,20.968254,7,291.225745,,N 186
262,5170,5168,0.884114,2,12.279356,,
263,18971,18973,2.008481,2,27.895568,,
264,22438,22437,73.722185,2,1023.919235,,D 909
265,32572,19543,53.590761,2,744.316125,,D 207
266,10094,10091,5.985366,2,83.130078,Avenue Pasteur,D 34
267,15108,15111,2.894067,2,40.195375,,
268,26088,26091,28.776861,2,399.678620,,D 6E
269,26840,26839,2.838112,7,39.418227,,N 10
270,27030,27361,79.332930,2,1101.846251,Avenue de Fontainebleau,D 302
271,27852,13946,1.257171,2,17.460703,Boulevard Ernest Girault,D 449
272,28514,7445,1.339758,2,18.607744,Rond-Point Camille Claudel,
273,32416,32415,1.416429,2,19.672626,,
274,2112,31635,1.388402,2,19.283355,Avenue du Maréchal Foch,
275,4154,893,28.961485,2,402.242850,Boulevard de la Défense,N 314
276,13704,13711,48.762197,2,677.252740,Rue de Claye,D 418
277,30372,9993,9.559915,2,132.776594,Avenue de la Maladrerie,D 30
278,3639,4191,0.963012,2,13.375164,Place de Strasbourg,
279,8511,9015,25.923637,0,360.050516,Voie de Desserte de Fontenay,A 186
280,9685,24807,5.691600,2,79.049995,Route du Mesnil Saint-Denis,
281,13163,28499,37.882927,2,526.151766,Rue d'Étampes,D 836
282,18779,18781,4.093886,2,56.859523,,
283,1519,27371,1.562587,2,21.702596,Boulevard Alexandre Soljenitsyne,
284,2037,2035,0.717515,2,9.965480,,
285,11897,11852,1.261364,2,17.518941,,
286,15127,9191,5.632840,2,78.233894,,D 43
287,20182,20186,4.547239,2,63.156094,Avenue de l'Europe,
288,22050,22051,1.962372,2,27.255164,,
289,27124,27122,2.828353,2,39.282676,Route Ronde,D 301
290,28184,24038,351.888073,2,4887.334347,,D 150
291,5859,2248,1.366580,2,18.980281,Rond-Point des Gatines,
292,10820,10721,161.384125,2,2241.446184,Quai des Martyrs de la Résistance,
293,11590,12097,23.763932,2,330.054605,Avenue Salvador Allende,D 145
294,14346,14332,39.369498,2,546.798584,Avenue Jean Monnet,
295,15303,11325,8.014730,2,111.315701,,
296,19538,1588,4.749993,2,65.972126,Route Nationale 7,D 607
297,8574,25953,31.901718,2,443.079414,Rue Jules Guesde,D 10
298,10473,27975,3.990034,2,55.417140,Route de la Roche,D 116D
299,15139,15140,2.709004,2,37.625061,Avenue Léon Gourdault,
300,24269,31980,109.667376,2,1523.158003,,D 152
301,26512,23960,46.874680,2,651.037228,,
302,29432,29424,0.977270,2,13.573193,,
303,4344,24086,20.689407,2,287.352872,Avenue Fourcault de Pavant,
304,9097,1132,53.664313,2,745.337684,Boulevard Gallieni,
305,12756,18460,51.840220,2,720.003061,Boulevard Suchet,
306,16122,12657,7.976767,2,110.788428,Avenue Gabriel Péri,D 121
307,24262,23110,27.564923,2,382.846157,Avenue Marc Sangnier,D 988
